Ingredient ID,Ingredient Category,Ingredient Name,Simple Consumer-Friendly Description,Cosmetic Role,Commonly Associated Benefit,Suitable Product Types,Suitable Marketing Language,Claims to Avoid,Content Angles
ING_012,Wax,Candelilla Wax,A plant-derived wax used to give lip products structure and glide.,structuring wax,Helps stabilize a smooth balm texture,balms; lipsticks; liners,smooth; firm; glide,medical barrier claims,vegan formula education
ING_013,Wax,Carnauba Wax,A high-melting plant wax used to add structure and durability.,structuring wax,Supports product structure and wear,lipsticks; liners; balms,polished; firm; refined,clinical wear claims,formula mechanics
ING_014,Humectant,Glycerin,A common cosmetic humectant that helps formulas attract and hold water.,humectant,Helps support a moisturised-feeling finish,balms; masks; serums,fresh; hydrated-feeling,treats dehydration medically,ingredient basics
ING_015,Humectant,Propanediol,A cosmetic ingredient that can support moisture feel and formula texture.,humectant/solvent,"Helps create a smooth, comfortable formula feel",serums; masks; tints,smooth; fresh; lightweight,medical hydration claims,formula education
ING_016,Conditioning Agent,Vitamin E,A cosmetic antioxidant and conditioning ingredient frequently used in lip formulas.,antioxidant/conditioning,Supports formula conditioning and a comfortable feel,oils; balms; masks; lipsticks,cushioned; cared-for,prevents disease; heals wounds,ingredient spotlight
ING_017,Antioxidant,Tocopherol,A form of vitamin E used in cosmetics for antioxidant support and conditioning.,antioxidant,Helps support formula and skin-conditioning feel,oils; balms; masks,smooth; cared-for,medical antioxidant claims,ingredient education
ING_018,Botanical Extract,Green Tea Extract,A botanical extract commonly included in beauty formulas for its antioxidant story.,botanical extract,Adds a fresh botanical ingredient story,serums; masks; balms,fresh; botanical; clean,detoxes or treats disease,ingredient spotlight
ING_019,Botanical Extract,Chamomile Extract,"A botanical extract used in cosmetics for a gentle, comforting ingredient story.",botanical extract,Supports a soothing-feeling beauty routine,balms; masks; treatments,calm; comforting; gentle,treats inflammation or disease,night routine
ING_020,Botanical Extract,Rose Extract,A floral botanical ingredient that adds a refined sensory and ingredient story.,botanical extract,"Adds a floral, elegant character",lip masks; oils; balms,floral; refined; fresh,medical calming claims,rose rituals
ING_021,Botanical Extract,Licorice Root Extract,A botanical extract often used in beauty products for its brightening-oriented cosmetic story.,botanical extract,Adds an ingredient-led beauty story,lip serums; masks,botanical; polished,bleaches or medically corrects pigmentation,ingredient education
ING_022,Botanical Extract,Pomegranate Extract,A fruit-derived botanical ingredient with an antioxidant-focused cosmetic story.,botanical extract,Adds a fruit-forward ingredient narrative,serums; masks; balms,juicy; vibrant; fresh,prevents ageing or disease,fruit ingredients
ING_023,Botanical Extract,Calendula Extract,"A botanical extract used in cosmetics for a gentle, comforting product story.",botanical extract,Supports a comfort-focused routine,balms; masks,soft; botanical; comforting,heals wounds,sensitive-feel routines
ING_024,Fruit Extract,Strawberry Extract,A fruit extract that supports a playful sensory and ingredient story.,fruit extract,Adds a fresh fruit identity,balms; glosses; masks,juicy; fruity; bright,skin treatment claims,flavour versus ingredient
ING_025,Fruit Extract,Peach Extract,"A fruit-derived cosmetic ingredient that adds a soft, juicy concept.",fruit extract,Adds a fresh fruit-led story,glosses; balms; masks,juicy; soft; sunny,medical claims,summer beauty
ING_026,Fruit Extract,Watermelon Extract,"A fruit extract that fits fresh, playful beauty concepts.",fruit extract,Adds a fresh fruit narrative,balms; glosses; tints,fresh; juicy; crisp,medical hydration claims,summer content
ING_027,Fruit Extract,Cherry Extract,A fruit extract that supports a vibrant colour and sensory story.,fruit extract,Adds a bold fruit-led concept,tints; stains; glosses,juicy; vivid; playful,medical claims,cherry mood
ING_028,Conditioning Agent,Polybutene,"A cosmetic film-forming ingredient commonly used to create gloss, cushion and slip.",film former,"Helps create a smooth, glossy feel",lip glosses; lip oils,glassy; cushiony; smooth,long-term protective medical claims,how gloss gets its shine
ING_029,Conditioning Agent,Hydrogenated Polyisobutene,"A cosmetic emollient used to create a plush, smooth lip feel.",emollient,Supports a comfortable glossy finish,glosses; lip oils; masks,plush; glossy; smooth,medical barrier claims,formula texture
ING_030,Texture Agent,Silica,A mineral-derived cosmetic ingredient used to adjust texture and finish.,texture modifier,Can help tune slip and finish,lipsticks; liners; glosses,soft-focus; smooth,detox or medical claims,finish education
ING_031,Pigment,Iron Oxides,"Cosmetic colorants used to create a range of warm, neutral and deep shades.",colorant,Provides stable cosmetic colour,lipsticks; liners; tints; balms,warm; rich; versatile,medical pigmentation claims,shade creation
ING_032,Pigment,Titanium Dioxide,A cosmetic pigment used to adjust opacity and create lighter shades.,colorant,Helps build opacity and shade balance,lipsticks; balms; glosses,creamy; opaque,sun protection unless specifically formulated and tested,how shades are built
ING_033,Pigment,Mica,A mineral pigment used to create shimmer and reflective effects.,colorant,Adds luminous or pearly visual effects,glosses; balms; lipsticks,luminous; pearly; reflective,medical or safety guarantees,light-catching makeup
ING_034,Pigment,Synthetic Fluorphlogopite,A cosmetic shimmer material used to create smooth reflective effects.,colorant,Creates refined shimmer and sparkle,glosses; lipsticks; balms,wet-look; radiant; reflective,medical claims,shimmer education
ING_035,Exfoliant,Sugar,A physical exfoliating material used in lip scrubs.,exfoliant,Helps buff away surface flakes for a smoother-feeling routine,lip scrubs,grainy; sweet; polished,treats skin conditions,scrub rituals
ING_036,Emulsifier,Polyglyceryl-3 Diisostearate,A cosmetic emulsifier that helps oil and pigment systems create a cohesive formula.,emulsifier,Supports smooth formula consistency,lipsticks; balms; tints,creamy; even,medical claims,behind-the-formula
ING_037,Emollient,Ethylhexyl Palmitate,A lightweight emollient that contributes slip and smooth application.,emollient,Helps formulas spread smoothly,lipsticks; balms; tints,silky; smooth,medical claims,application feel
ING_038,Conditioning Agent,Bis-Diglyceryl Polyacyladipate-2,"A cosmetic conditioning ingredient used to create a rich, lip-friendly cushion.",conditioning agent,"Supports a plush, comfortable feel",lipsticks; glosses; balms,cushiony; plush; buttery,healing or treatment claims,why a formula feels plush
ING_039,Emollient,Isododecane,A lightweight cosmetic emollient that can support a less-heavy feel and quick set.,volatile emollient,"Helps create a lightweight, smooth application",lip liners; liquid lipsticks; stains,weightless; quick-set; smooth,medical claims,formula feel
ING_040,Preservative,Phenoxyethanol,A common cosmetic preservative used to help protect water-containing formulas from microbial growth.,preservative,Supports product freshness and formula stability,masks; serums; treatments,fresh; formula care,preservative-free claims unless accurate,why cosmetics need preservation
ING_041,Preservative,Ethylhexylglycerin,A multifunctional cosmetic ingredient often used alongside preservation systems.,preservative booster/conditioning,Supports formula preservation systems and skin feel,masks; balms; serums,clean; smooth,antimicrobial medical claims,formula education
ING_042,pH Adjuster,Citric Acid,A cosmetic ingredient used to adjust formula pH.,pH adjuster,Helps formulators tune product pH,tints; masks; serums,balanced; refined,medical pH claims,behind-the-scenes formulation
