Image ID,Visual Style,Background,Lighting,Props,Composition,Colour Mood,Product Placement,Model/Persona,Suitable Product Types,Suitable Content Buckets,Suitable Platforms
IMG_011,Pearl Light,pale pink backdrop,sparkling side light,glass beads; acrylic,close crop around reflective packaging,rose; pearl; clear,gloss angled to catch light,PERSONA_003,shimmer glosses; serums,Flavour/Sensory; Product Spotlight,Instagram; Pinterest
IMG_012,Morning Citrus,pale yellow backdrop,bright window light,lemon; coffee; linen,casual asymmetrical composition,lemon; cream; warm beige,balm near cup,PERSONA_008,balms,Lifestyle; Flavour/Sensory,Instagram; Facebook
IMG_013,Tropical Soft,sand-toned backdrop,sunlit diffuse light,coconut; mango; woven fabric,wide negative-space composition,sand; mango; cream,oil in foreground,PERSONA_005,lip oils; balms,Flavour/Sensory; Lifestyle,Instagram; Pinterest
IMG_014,Ingredient Board,white board,even studio light,ingredient bowls; labels,top-down ingredient arrangement,neutral botanical tones,product centered among ingredients,PERSONA_006,serums; masks; oils,Ingredient Spotlight; Education,Instagram; Pinterest
IMG_015,Swatch Hand,plain backdrop,soft studio light,none,hand and forearm with multiple swatches,skin-neutral; product shades,product held above swatches,PERSONA_003,lipsticks; tints; stains,Product Spotlight; Education,Instagram; YouTube Shorts
IMG_016,Mirror Swipe,vanity mirror,side light,mirror; tissue; compact,product and reflection,neutral; berry,product close to mirror,PERSONA_001,glosses; tints,Entertainment; Product Spotlight,Instagram; YouTube Shorts
IMG_017,Bag Essential,neutral fabric,natural daylight,tote bag; keys; sunglasses,product emerging from bag,cream; denim; cherry,balm in hand,PERSONA_001,balms; glosses; tints,Lifestyle; Community,Instagram; Facebook
IMG_018,Nightstand Closeup,dark warm wood,soft lamp,book; glass of water; linen,tight bedside crop,cocoa; rose; cream,mask jar open,PERSONA_010,masks; treatments,Lifestyle; Lip Care Tips,Instagram; Pinterest
IMG_019,Colour Story,solid colour field,studio light,paper swatches,product surrounded by colour chips,shade-matched,product centered,PERSONA_003,lipsticks; glosses; stains,Product Spotlight; Brand Story,Instagram; Pinterest
IMG_020,Soft Focus Portrait,neutral wall,window light,minimal jewellery,model applying product,cream; rose; natural skin tones,product in hand near lips,PERSONA_009,tinted balms; glosses; lipsticks,Lifestyle; Product Spotlight,Instagram; Facebook
IMG_021,Close-up Application,plain background,soft front light,mirror; applicator,cropped application shot,natural; shade-led,applicator touching lips,PERSONA_005,glosses; tints; oils,Product Spotlight; Education,Instagram; YouTube Shorts
IMG_022,Playful Prop,pastel backdrop,bright studio,dice; cards; fruit; stickers,product with one oversized prop,peach; cherry; rose,product as hero,PERSONA_001,glosses; tints; balms,Entertainment; Engagement,Instagram; YouTube Shorts
IMG_023,Quiet Luxury,stone surface,controlled directional light,ceramic; silk,editorial still life,stone; cocoa; rose,product centered with space,PERSONA_007,serums; masks; lipsticks,Brand Story; Product Spotlight,Instagram; Pinterest
IMG_024,Routine Sequence,bathroom shelf,soft morning light,towel; mirror; pouch,three products arranged as routine,cream; green; rose,products numbered 1-2-3,PERSONA_004,balms; scrubs; tints,Lip Care Tips; Education,Instagram; Pinterest
IMG_025,Gloss Drip,clear acrylic,hard highlight,glass droplet; acrylic,macro product and simulated gloss texture,clear; silver; berry,tube beside glossy smear,PERSONA_005,lip glosses; oils,Flavour/Sensory; Product Spotlight,Instagram; YouTube Shorts
IMG_026,Flavour Pairing,neutral table,natural light,matching food prop; fabric,product and flavour prop side by side,flavour-matched,product front and center,PERSONA_003,all flavoured products,Flavour/Sensory,Instagram; Pinterest
IMG_027,Weekend Reset,soft bedding,late afternoon light,book; candle-like decor; mug,relaxed flat lay,cream; peach; cocoa,mask or butter open,PERSONA_010,masks; butters; balms,Lifestyle; Lip Care Tips,Instagram; Pinterest
IMG_028,Launch Wall,clean studio,bright even light,brand cards; colour blocks,multiple new products in rows,brand palette,collection hero,PERSONA_003,new launches,Promotion; Product Spotlight,Instagram; Facebook; Pinterest
IMG_029,Community Shelf,realistic bathroom shelf,natural mixed light,toiletries; pouch; towel,product among everyday objects,mixed neutrals,product integrated rather than isolated,PERSONA_002,balms; glosses; treatments,Community; Lifestyle,Instagram; Facebook
IMG_030,Macro Cap + Label,neutral background,controlled studio light,none,extreme close-up of packaging details,brand palette,label fills frame,PERSONA_003,all,Brand Story; Product Spotlight,Instagram; Pinterest
