Product ID,Product Name,Product Category,Product Subcategory,Product Description,Key Benefits,Hero Benefit,Secondary Benefits,Key Ingredients,Ingredient Benefits,Flavour,Scent,Texture,Finish,Shade,Shade Family,Shade Description,Ideal Use,Recommended Time of Day,Suitable Customer Persona,Price Tier,Product Personality,Main Marketing Angle,Secondary Marketing Angles,Suggested CTA,Suggested Content Buckets,Suitable Platforms,Image Concept,Visual Mood
PRODUCT_018,Lychee Pearl Glaze,Lip Gloss,Shimmer gloss,A sheer lychee gloss with fine pearl that catches the light without looking chunky.,pearly shine; sheer tint; smooth texture,Fine pearly shine,Sheer colour; layering-friendly,hydrogenated polyisobutene; mica; vitamin E,hydrogenated polyisobutene supports plush feel; mica creates pearl; vitamin E supports conditioning,Lychee Pearl,lychee,plush gel,pearly gloss,Pink Pearl,Pink,A translucent pink with delicate pearl.,Day-to-night shine,Day,PERSONA_003,Mid,playful-luxe,Pearl without the glitter overload,shimmer; collection,Catch the light,Flavour/Sensory; Product Spotlight,Instagram; Pinterest,gloss tube with pearly reflections,airy; luminous; juicy
PRODUCT_019,Blackberry Tea Bullet,Lipstick,Satin lipstick,A deep blackberry lipstick with a smooth satin finish and refined fruit character.,deep colour; satin finish; creamy application,Deep berry colour,Polished finish; easy layering,castor seed oil; mango butter; iron oxides,castor oil supports glide; mango butter adds richness; iron oxides create shade,Blackberry Tea,blackberry tea,creamy bullet,satin,Blackberry,Berry,A deep cool berry with muted richness.,Evening looks,Evening,PERSONA_007,Premium,sophisticated,Deep berry for quiet drama,shade styling; evening,Meet blackberry,Product Spotlight; Lifestyle,Instagram; Pinterest,dark berry lipstick on a tea tray,deep; refined; velvety
PRODUCT_020,Fig Honey Butter,Lip Butter,Whipped butter,"A soft fig-and-honey lip butter with a whipped, cushiony feel.",whipped texture; rich feel; sensory ritual,Whipped cushion,Easy evening use; warm flavour,mango butter; shea butter; jojoba oil,butters add richness; jojoba supports smooth feel,Fig Honey,fig-honey,whipped butter,soft sheen,Clear,Clear,Translucent whipped butter.,Evening self-care,Night,PERSONA_010,Mid,warm-refined,The quiet luxury lip butter,ritual; texture,Whip up a little comfort,Lifestyle; Flavour/Sensory,Instagram; Pinterest,whipped butter texture with figs and honey tones,jammy; plush; warm
PRODUCT_021,Watermelon Mist Tint,Lip Tint,Water tint,A fresh watermelon tint that builds from a barely-there flush to a brighter wash.,buildable colour; fresh feel; lightweight texture,Fresh watermelon tint,Layerable intensity; easy touch-up,watermelon extract; glycerin; propanediol; iron oxides,watermelon extract adds fruit story; glycerin supports moisturised feel; pigments build colour,Watermelon Mist,watermelon,watery tint,fresh stain,Watermelon Pink,Pink,A fresh pink-red wash.,Daytime colour,Day,PERSONA_001,Accessible,fresh-playful,A quick watermelon flush,swatches; quick routine,Build your flush,Product Spotlight; Flavour/Sensory,Instagram; YouTube Shorts,watermelon slices with three tint intensity swatches,crisp; juicy; fresh
PRODUCT_022,Rose Cream Overnight Veil,Lip Sleeping Mask,Overnight cream mask,A rose cream sleeping mask with a rich but smooth finish for an evening ritual.,rich feel; overnight routine; floral sensory,Comforting overnight texture,Creamy application; soft scent,shea butter; rose extract; glycerin; vitamin E,shea adds richness; rose adds botanical story; glycerin supports moisturised feel,Rose Cream,soft rose,cream-balm,soft satin,Clear,Clear,Translucent creamy veil.,Before bed,Night,PERSONA_007,Premium,romantic-refined,Rose for the nightstand,ritual; botanical,End the day in rose,Lifestyle; Ingredient Spotlight,Instagram; Pinterest,"rose petals, bedside book and mask",soft; floral; creamy
PRODUCT_023,Caramel Glass Oil,Lip Oil,Gourmand gloss oil,"A clear caramel lip oil with a plush, glossy feel.",high shine; plush slip; dessert flavour,Plush glossy feel,Layering-friendly; sensory,hydrogenated polyisobutene; castor seed oil; vitamin E,emollients support glossy cushion and slip; vitamin E supports conditioning,Salted Caramel,caramel,plush oil,glassy,Clear,Clear,Transparent caramel-toned shine.,Anytime shine,Anytime,PERSONA_003,Mid,indulgent-playful,Gloss with a dessert mood,flavour; texture,Gloss over caramel,Flavour/Sensory; Product Spotlight,Instagram; YouTube Shorts,oil applicator with caramel ribbon styling,buttery; glossy; indulgent
PRODUCT_024,Lemon Cream Balm,Lip Balm,Cream balm,"A bright lemon-cream balm with a smooth, creamy glide.",smooth glide; creamy feel; fresh flavour,Creamy everyday balm,Portable; easy reapplication,shea butter; jojoba oil; vitamin E,shea adds richness; jojoba supports conditioning; vitamin E supports conditioning,Lemon Cream,lemon cream,creamy balm,natural sheen,Clear,Clear,Transparent balm with a soft sheen.,Morning routine,Day,PERSONA_008,Accessible,cheerful-functional,A bright little balm,morning routine; flavour,Start with a little brightness,Flavour/Sensory; Lifestyle,Instagram; Facebook,balm beside lemon and a morning coffee,zesty; creamy; bright
PRODUCT_025,Vanilla Chai Night Melt,Lip Treatment,Overnight balm treatment,A warm vanilla chai lip treatment with a rich melt-in texture for nighttime use.,rich texture; overnight-friendly; comforting sensory,Rich overnight feel,Melt-in texture; easy ritual,shea butter; mango butter; vitamin E,butters create richness; vitamin E supports conditioning feel,Vanilla Chai,vanilla chai,melting balm,soft gloss,Clear,Clear,Translucent glossy balm.,Night routine,Night,PERSONA_010,Mid,cozy-refined,The night balm with a little spice,night ritual; flavour,Melt into bedtime,Lip Care Tips; Flavour/Sensory,Instagram; Pinterest,open treatment beside a warm mug and book,spiced; creamy; warm
PRODUCT_026,Pear Vanilla Veil,Lip Gloss,Sheer gloss,"A sheer pear-vanilla gloss with a delicate, clean sweetness.",sheer shine; smooth glide; soft flavour,Sheer polished shine,Easy layering; subtle colour,castor seed oil; polybutene; vitamin E,castor oil and polybutene support glossy slip; vitamin E supports conditioning,Pear Vanilla,pear-vanilla,smooth gel,glassy,Sheer Nude,Nude,A translucent beige-pink tint.,Daily polish,Day,PERSONA_004,Accessible,minimal-sweet,The no-fuss gloss,minimal makeup; layering,Keep it simple,Product Spotlight; Lifestyle,Instagram; Pinterest,neutral gloss with pear and vanilla styling,fresh; creamy; understated
PRODUCT_027,Pomegranate Fizz Stain,Lip Stain,Water stain,"A bright pomegranate stain with buildable colour and a fresh, watery feel.",buildable colour; fresh texture; vivid wash,Bright pomegranate colour,Layerable; lightweight,pomegranate extract; glycerin; iron oxides,pomegranate extract adds fruit story; glycerin supports moisturised feel; pigments create colour,Pomegranate Fizz,pomegranate,watery stain,fresh stain,Pomegranate Red,Red,A bright red with a berry cast.,Day-to-evening colour,Day,PERSONA_005,Mid,energetic,A bright stain that builds,swatches; trend,Build the fizz,Flavour/Sensory; Product Spotlight,Instagram; YouTube Shorts,three intensity swatches with pomegranate seeds,tart; juicy; vibrant
PRODUCT_028,Green Tea Lip Serum,Lip Serum,Conditioning serum,A lightweight green tea lip serum with a silky finish for layering under colour.,silky texture; lightweight feel; ingredient-led story,Silky serum feel,Layering-friendly; refined texture,squalane; green tea extract; glycerin; vitamin E,squalane supports silky feel; green tea adds botanical story; glycerin supports moisturised feel,Mint Leaf,fresh green tea,silky serum,natural sheen,Clear,Clear,Transparent serum with a soft sheen.,Before lipstick or alone,Day,PERSONA_006,Premium,ingredient-led,The ingredient-conscious prep step,formula; layering,Meet your serum step,Ingredient Spotlight; Education,Instagram; Pinterest,serum applicator beside green tea leaves,fresh; silky; botanical
PRODUCT_029,Soft Cocoa Liner,Lip Liner,Cream lip liner,A warm cocoa liner with a creamy glide for shaping and pairing with nude and berry shades.,precise definition; creamy glide; versatile colour,Soft definition,Easy pairing; polished finish,castor seed oil; candelilla wax; iron oxides,castor oil supports glide; wax adds structure; pigments create colour,Cocoa Drizzle,cocoa,creamy pencil,satin,Cocoa Nude,Brown,A warm medium brown for soft definition.,Everyday lip shaping,Day,PERSONA_009,Mid,polished,The everyday lip-map pencil,pairing; technique,Line your way,Education; Product Spotlight,Instagram; Pinterest,liner beside nude and berry swatches,creamy; warm; precise
PRODUCT_030,Raspberry Sorbet Tint,Tinted Lip Balm,Tinted balm,A raspberry tinted balm that gives a fresh berry wash with a comfortable balm feel.,berry tint; balm texture; easy use,Fresh raspberry wash,Portable; subtle buildability,shea butter; raspberry flavour; jojoba oil; iron oxides,shea and jojoba support conditioning feel; pigments create colour,Raspberry Sorbet,raspberry,creamy balm,sheer satin,Raspberry Pink,Pink,A bright raspberry pink with a translucent finish.,Everyday colour,Day,PERSONA_001,Accessible,bright-playful,Berry colour in a balm,shade; portability,Swipe into sorbet,Product Spotlight; Flavour/Sensory,Instagram; YouTube Shorts,balm with raspberry styling and finger swatch,tart; juicy; creamy
