Dataset,Purpose,Recommended CSV Filename,Field
Alt_Text_Rules,Rules for programmatic accessible image descriptions,alt_text_rules.csv,Recommended Structure
Alt_Text_Rules,Rules for programmatic accessible image descriptions,alt_text_rules.csv,Recommended Length
Alt_Text_Rules,Rules for programmatic accessible image descriptions,alt_text_rules.csv,Avoid
Image_Title_Rules,Rules for concise SEO-friendly image titles,image_title_rules.csv,Rule ID
Image_Title_Rules,Rules for concise SEO-friendly image titles,image_title_rules.csv,Rule Type
Image_Title_Rules,Rules for concise SEO-friendly image titles,image_title_rules.csv,Naming Structure
Image_Title_Rules,Rules for concise SEO-friendly image titles,image_title_rules.csv,Purpose
Image_Title_Rules,Rules for concise SEO-friendly image titles,image_title_rules.csv,Keyword Usage
Image_Title_Rules,Rules for concise SEO-friendly image titles,image_title_rules.csv,Maximum Recommended Length
Image_Title_Rules,Rules for concise SEO-friendly image titles,image_title_rules.csv,Example
Campaign_Structure,"Daily structures for 7, 14 and 30 day campaigns",campaign_structure.csv,Campaign Row ID
Campaign_Structure,"Daily structures for 7, 14 and 30 day campaigns",campaign_structure.csv,Campaign Duration
Campaign_Structure,"Daily structures for 7, 14 and 30 day campaigns",campaign_structure.csv,Day
Campaign_Structure,"Daily structures for 7, 14 and 30 day campaigns",campaign_structure.csv,Number of Posts
Campaign_Structure,"Daily structures for 7, 14 and 30 day campaigns",campaign_structure.csv,Platform Distribution
Campaign_Structure,"Daily structures for 7, 14 and 30 day campaigns",campaign_structure.csv,Content Bucket Distribution
Campaign_Structure,"Daily structures for 7, 14 and 30 day campaigns",campaign_structure.csv,Persona Distribution
Campaign_Structure,"Daily structures for 7, 14 and 30 day campaigns",campaign_structure.csv,Product Distribution
Campaign_Structure,"Daily structures for 7, 14 and 30 day campaigns",campaign_structure.csv,Rotation Rule
Campaign_Structure,"Daily structures for 7, 14 and 30 day campaigns",campaign_structure.csv,Format Note
