Hook ID,Category,Hook Structure,Suggested Variables
HOOK_032,Curiosity,Some flavours belong in the morning. Some belong at bedtime. Compare [PRODUCT_A] with [PRODUCT_B].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_033,Problem/Solution,Here is your reminder that lip care can be enjoyable. Compare [PRODUCT_A] with [PRODUCT_B].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_034,Lifestyle,"Pick your lip mood: fresh, creamy, glossy or velvety. Compare [PRODUCT_A] with [PRODUCT_B].",[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_035,Product,This is what a soft-focus lip day looks like. Compare [PRODUCT_A] with [PRODUCT_B].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_036,Emotional,"One shade family, five different personalities. Compare [PRODUCT_A] with [PRODUCT_B].",[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_037,Humour,Why do we love tiny products that live in every bag? Compare [PRODUCT_A] with [PRODUCT_B].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_038,Trend,Your favourite finish might not be the one you think. Compare [PRODUCT_A] with [PRODUCT_B].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_039,Engagement,The most useful lip product is not always the loudest one. Compare [PRODUCT_A] with [PRODUCT_B].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_040,Storytelling,Glossy lips are not one-finish-fits-all. Here is the difference. Compare [PRODUCT_A] with [PRODUCT_B].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_041,Education,The lip product in your bag says more about your routine than you think. Show the texture before explaining it.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_042,Curiosity,"Before you pick a shade, pick the finish. Show the texture before explaining it.",[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_043,Problem/Solution,Your lip routine can be shorter than your morning coffee order. Show the texture before explaining it.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_044,Lifestyle,Here is why this texture feels different on the first swipe. Show the texture before explaining it.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_045,Product,"If your ideal lip look lives somewhere between balm and colour, start here. Show the texture before explaining it.",[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_046,Emotional,"One flavour, three very different moods. Show the texture before explaining it.",[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_047,Humour,Which would you choose for a five-minute getting-ready routine? Show the texture before explaining it.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_048,Trend,The tiny lip step that makes the rest of your routine easier. Show the texture before explaining it.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_049,Engagement,Meet the shade made for people who never know what to pick. Show the texture before explaining it.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_050,Storytelling,Consider this your sign to try a softer berry. Show the texture before explaining it.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_051,Education,Some days call for colour. Some call for comfort. Some call for both. Add [PRODUCT_NAME] to the story.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_052,Curiosity,What happens when peach meets gloss? Add [PRODUCT_NAME] to the story.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_053,Problem/Solution,The best lip product is often the one you actually remember to use. Add [PRODUCT_NAME] to the story.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_054,Lifestyle,Your desk deserves a lip ritual too. Add [PRODUCT_NAME] to the story.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_055,Product,Not every glossy lip needs a dramatic shade. Add [PRODUCT_NAME] to the story.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_056,Emotional,Here is the easiest way to make a sheer tint feel intentional. Add [PRODUCT_NAME] to the story.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_057,Humour,"If you love vanilla, wait until you see this texture. Add [PRODUCT_NAME] to the story.",[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_058,Trend,A good lip combo starts with the right pairing. Add [PRODUCT_NAME] to the story.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_059,Engagement,Three swipes. Three moods. Add [PRODUCT_NAME] to the story.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_060,Storytelling,Think of this as your lip wardrobe. Add [PRODUCT_NAME] to the story.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_061,Education,The shade looks different in the tube. Here is the real swatch. Pair it with [SHADE_FAMILY].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_062,Curiosity,Why does one gloss feel plush while another feels thin? Pair it with [SHADE_FAMILY].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_063,Problem/Solution,Your nightstand called. It wants a lip mask. Pair it with [SHADE_FAMILY].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_064,Lifestyle,"One ingredient, one simple reason it is here. Pair it with [SHADE_FAMILY].",[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_065,Product,Let us make ingredient labels a little less intimidating. Pair it with [SHADE_FAMILY].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_066,Emotional,Your lip colour does not have to compete with your whole face. Pair it with [SHADE_FAMILY].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_067,Humour,Here is the difference between a juicy tint and a creamy balm. Pair it with [SHADE_FAMILY].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_068,Trend,"If your makeup bag had one lip product slot left, what would you choose? Pair it with [SHADE_FAMILY].",[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_069,Engagement,The easiest way to add colour without adding a whole routine. Pair it with [SHADE_FAMILY].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_070,Storytelling,A little shine can change the entire mood of a look. Pair it with [SHADE_FAMILY].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_071,Education,Some flavours belong in the morning. Some belong at bedtime. Use [FLAVOUR] as the sensory cue.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_072,Curiosity,Here is your reminder that lip care can be enjoyable. Use [FLAVOUR] as the sensory cue.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_073,Problem/Solution,"Pick your lip mood: fresh, creamy, glossy or velvety. Use [FLAVOUR] as the sensory cue.",[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_074,Lifestyle,This is what a soft-focus lip day looks like. Use [FLAVOUR] as the sensory cue.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_075,Product,"One shade family, five different personalities. Use [FLAVOUR] as the sensory cue.",[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_076,Emotional,Why do we love tiny products that live in every bag? Use [FLAVOUR] as the sensory cue.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_077,Humour,Your favourite finish might not be the one you think. Use [FLAVOUR] as the sensory cue.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_078,Trend,The most useful lip product is not always the loudest one. Use [FLAVOUR] as the sensory cue.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_079,Engagement,Glossy lips are not one-finish-fits-all. Here is the difference. Use [FLAVOUR] as the sensory cue.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_080,Storytelling,The lip product in your bag says more about your routine than you think. Use [FLAVOUR] as the sensory cue.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_081,Education,"Before you pick a shade, pick the finish. Compare [PRODUCT_A] with [PRODUCT_B].",[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_082,Curiosity,Your lip routine can be shorter than your morning coffee order. Compare [PRODUCT_A] with [PRODUCT_B].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_083,Problem/Solution,Here is why this texture feels different on the first swipe. Compare [PRODUCT_A] with [PRODUCT_B].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_084,Lifestyle,"If your ideal lip look lives somewhere between balm and colour, start here. Compare [PRODUCT_A] with [PRODUCT_B].",[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_085,Product,"One flavour, three very different moods. Compare [PRODUCT_A] with [PRODUCT_B].",[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_086,Emotional,Which would you choose for a five-minute getting-ready routine? Compare [PRODUCT_A] with [PRODUCT_B].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_087,Humour,The tiny lip step that makes the rest of your routine easier. Compare [PRODUCT_A] with [PRODUCT_B].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_088,Trend,Meet the shade made for people who never know what to pick. Compare [PRODUCT_A] with [PRODUCT_B].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_089,Engagement,Consider this your sign to try a softer berry. Compare [PRODUCT_A] with [PRODUCT_B].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_090,Storytelling,Some days call for colour. Some call for comfort. Some call for both. Compare [PRODUCT_A] with [PRODUCT_B].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_091,Education,What happens when peach meets gloss? Show the texture before explaining it.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_092,Curiosity,The best lip product is often the one you actually remember to use. Show the texture before explaining it.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_093,Problem/Solution,Your desk deserves a lip ritual too. Show the texture before explaining it.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_094,Lifestyle,Not every glossy lip needs a dramatic shade. Show the texture before explaining it.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_095,Product,Here is the easiest way to make a sheer tint feel intentional. Show the texture before explaining it.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_096,Emotional,"If you love vanilla, wait until you see this texture. Show the texture before explaining it.",[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_097,Humour,A good lip combo starts with the right pairing. Show the texture before explaining it.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_098,Trend,Three swipes. Three moods. Show the texture before explaining it.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_099,Engagement,Think of this as your lip wardrobe. Show the texture before explaining it.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_100,Storytelling,The shade looks different in the tube. Here is the real swatch. Show the texture before explaining it.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
