Time ID,Platform,Day,Time Window,Audience/Persona,Content Bucket,Content Type,Priority Score
TIME_136,Facebook,Saturday,18:00-21:00,PERSONA_001,Entertainment,reel,5
TIME_137,Facebook,Saturday,20:00-22:00,PERSONA_006,Ingredient Spotlight,carousel,4
TIME_138,Facebook,Saturday,20:00-22:00,PERSONA_007,Lifestyle,editorial image,4
TIME_139,Facebook,Saturday,21:00-23:00,PERSONA_010,Lip Care Tips,night routine reel,4
TIME_140,Facebook,Sunday,07:30-09:00,PERSONA_004,Lifestyle,routine photo,4
TIME_141,Facebook,Sunday,08:00-10:00,PERSONA_009,Education,carousel,4
TIME_142,Facebook,Sunday,12:00-14:00,PERSONA_002,Product Spotlight,carousel,4
TIME_143,Facebook,Sunday,17:00-20:00,PERSONA_008,Promotion,product post,3
TIME_144,Facebook,Sunday,18:00-21:00,PERSONA_001,Entertainment,reel,5
TIME_145,Facebook,Sunday,20:00-22:00,PERSONA_006,Ingredient Spotlight,carousel,4
TIME_146,Facebook,Sunday,20:00-22:00,PERSONA_007,Lifestyle,editorial image,4
TIME_147,Facebook,Sunday,21:00-23:00,PERSONA_010,Lip Care Tips,night routine reel,4
TIME_148,Pinterest,Monday,07:30-09:00,PERSONA_004,Lifestyle,routine photo,4
TIME_149,Pinterest,Monday,08:00-10:00,PERSONA_009,Education,carousel,4
TIME_150,Pinterest,Monday,12:00-14:00,PERSONA_002,Product Spotlight,carousel,4
TIME_151,Pinterest,Monday,20:00-22:00,PERSONA_006,Ingredient Spotlight,carousel,4
TIME_152,Pinterest,Monday,20:00-22:00,PERSONA_007,Lifestyle,editorial image,4
TIME_153,Pinterest,Monday,21:00-23:00,PERSONA_010,Lip Care Tips,night routine reel,4
TIME_154,Pinterest,Tuesday,07:30-09:00,PERSONA_004,Lifestyle,routine photo,4
TIME_155,Pinterest,Tuesday,08:00-10:00,PERSONA_009,Education,carousel,4
TIME_156,Pinterest,Tuesday,12:00-14:00,PERSONA_002,Product Spotlight,carousel,4
TIME_157,Pinterest,Tuesday,20:00-22:00,PERSONA_006,Ingredient Spotlight,carousel,4
TIME_158,Pinterest,Tuesday,20:00-22:00,PERSONA_007,Lifestyle,editorial image,4
TIME_159,Pinterest,Tuesday,21:00-23:00,PERSONA_010,Lip Care Tips,night routine reel,4
TIME_160,Pinterest,Wednesday,07:30-09:00,PERSONA_004,Lifestyle,routine photo,4
TIME_161,Pinterest,Wednesday,08:00-10:00,PERSONA_009,Education,carousel,4
TIME_162,Pinterest,Wednesday,12:00-14:00,PERSONA_002,Product Spotlight,carousel,4
TIME_163,Pinterest,Wednesday,20:00-22:00,PERSONA_006,Ingredient Spotlight,carousel,4
TIME_164,Pinterest,Wednesday,20:00-22:00,PERSONA_007,Lifestyle,editorial image,4
TIME_165,Pinterest,Wednesday,21:00-23:00,PERSONA_010,Lip Care Tips,night routine reel,4
TIME_166,Pinterest,Thursday,07:30-09:00,PERSONA_004,Lifestyle,routine photo,4
TIME_167,Pinterest,Thursday,08:00-10:00,PERSONA_009,Education,carousel,4
TIME_168,Pinterest,Thursday,12:00-14:00,PERSONA_002,Product Spotlight,carousel,4
TIME_169,Pinterest,Thursday,20:00-22:00,PERSONA_006,Ingredient Spotlight,carousel,4
TIME_170,Pinterest,Thursday,20:00-22:00,PERSONA_007,Lifestyle,editorial image,4
TIME_171,Pinterest,Thursday,21:00-23:00,PERSONA_010,Lip Care Tips,night routine reel,4
TIME_172,Pinterest,Friday,07:30-09:00,PERSONA_004,Lifestyle,routine photo,4
TIME_173,Pinterest,Friday,08:00-10:00,PERSONA_009,Education,carousel,4
TIME_174,Pinterest,Friday,12:00-14:00,PERSONA_002,Product Spotlight,carousel,4
TIME_175,Pinterest,Friday,20:00-22:00,PERSONA_006,Ingredient Spotlight,carousel,4
TIME_176,Pinterest,Friday,20:00-22:00,PERSONA_007,Lifestyle,editorial image,4
TIME_177,Pinterest,Friday,21:00-23:00,PERSONA_010,Lip Care Tips,night routine reel,4
TIME_178,Pinterest,Saturday,07:30-09:00,PERSONA_004,Lifestyle,routine photo,4
TIME_179,Pinterest,Saturday,08:00-10:00,PERSONA_009,Education,carousel,4
TIME_180,Pinterest,Saturday,12:00-14:00,PERSONA_002,Product Spotlight,carousel,4
TIME_181,Pinterest,Saturday,20:00-22:00,PERSONA_006,Ingredient Spotlight,carousel,4
TIME_182,Pinterest,Saturday,20:00-22:00,PERSONA_007,Lifestyle,editorial image,4
TIME_183,Pinterest,Saturday,21:00-23:00,PERSONA_010,Lip Care Tips,night routine reel,4
TIME_184,Pinterest,Sunday,07:30-09:00,PERSONA_004,Lifestyle,routine photo,4
TIME_185,Pinterest,Sunday,08:00-10:00,PERSONA_009,Education,carousel,4
TIME_186,Pinterest,Sunday,12:00-14:00,PERSONA_002,Product Spotlight,carousel,4
TIME_187,Pinterest,Sunday,20:00-22:00,PERSONA_006,Ingredient Spotlight,carousel,4
TIME_188,Pinterest,Sunday,20:00-22:00,PERSONA_007,Lifestyle,editorial image,4
TIME_189,Pinterest,Sunday,21:00-23:00,PERSONA_010,Lip Care Tips,night routine reel,4
TIME_190,YouTube Shorts,Monday,12:00-14:00,PERSONA_002,Product Spotlight,carousel,4
TIME_191,YouTube Shorts,Monday,18:00-21:00,PERSONA_001,Entertainment,reel,5
TIME_192,YouTube Shorts,Monday,19:00-22:00,PERSONA_005,Trend,short video,5
TIME_193,YouTube Shorts,Tuesday,12:00-14:00,PERSONA_002,Product Spotlight,carousel,4
TIME_194,YouTube Shorts,Tuesday,18:00-21:00,PERSONA_001,Entertainment,reel,5
TIME_195,YouTube Shorts,Tuesday,19:00-22:00,PERSONA_005,Trend,short video,5
TIME_196,YouTube Shorts,Wednesday,12:00-14:00,PERSONA_002,Product Spotlight,carousel,4
TIME_197,YouTube Shorts,Wednesday,18:00-21:00,PERSONA_001,Entertainment,reel,5
TIME_198,YouTube Shorts,Wednesday,19:00-22:00,PERSONA_005,Trend,short video,5
TIME_199,YouTube Shorts,Thursday,12:00-14:00,PERSONA_002,Product Spotlight,carousel,4
TIME_200,YouTube Shorts,Thursday,18:00-21:00,PERSONA_001,Entertainment,reel,5
TIME_201,YouTube Shorts,Thursday,19:00-22:00,PERSONA_005,Trend,short video,5
TIME_202,YouTube Shorts,Friday,12:00-14:00,PERSONA_002,Product Spotlight,carousel,4
TIME_203,YouTube Shorts,Friday,18:00-21:00,PERSONA_001,Entertainment,reel,5
TIME_204,YouTube Shorts,Friday,19:00-22:00,PERSONA_005,Trend,short video,5
TIME_205,YouTube Shorts,Saturday,12:00-14:00,PERSONA_002,Product Spotlight,carousel,4
TIME_206,YouTube Shorts,Saturday,18:00-21:00,PERSONA_001,Entertainment,reel,5
TIME_207,YouTube Shorts,Saturday,19:00-22:00,PERSONA_005,Trend,short video,5
TIME_208,YouTube Shorts,Sunday,12:00-14:00,PERSONA_002,Product Spotlight,carousel,4
TIME_209,YouTube Shorts,Sunday,18:00-21:00,PERSONA_001,Entertainment,reel,5
TIME_210,YouTube Shorts,Sunday,19:00-22:00,PERSONA_005,Trend,short video,5
